establNumber,operatorName,locationAddress,geoAdddress,mailingAddress,functionCodes,telephoneNumber
214,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.*Also Doing Business As Name:   J.M. SCHNEIDER : SCHNEIDER FOODS/LES ALIMENTS SCHNEIDER : MAPLE LEAF CONSUMER FOODS/ LES ALIMENTS DE CONSOMMATION MAPLE LEAF : MAPLE LEAF POTATOES : MAPLE LEAF FOODS/LES ALIMENTS MAPLE LEAF : MITCHELL'S GOURMET FOODS : MAPLE LEAF PORK/PORC MAPLE LEAF : MAPLE LEAF POULTRY/VOLAILLE MAPLE LEAF : HUB MEAT PACKERS : MAPLE LEAF FOOD SERVICE/SERVICE ALIMENTAIRE MAPLE LEAF : HUB MEATS/LES VIANDES HUB : LARSENS PACKERS : COLD SPRINGS FARM : CAPPOLA FOOD : THAMES VALLEY PROCESSING MAPLE LEAF FOODS,149 BROCK STREET;   THAMESFORD ON NOM 2M0,"43.0563999, -80.99899049999999",30 ST. CLAIR AVENUE WEST; SUITE 1500   TORONTO ON M4V 3A2,1fi 3f 11ADG,(519) 285-3940 (519) 285-3181/F (   )    -
216,CARGILL LIMITED - CARGILL LIMITEEAlso Doing Business As Name:   CARGILL MEAT SOLUTIONS : CARGILL FOODS : WATSON FOODS : BETTER BEEF-CARGILL MEAT SOLUTIONS,180 WATSON PARKWAY SOUTH   GUELPH ON N1L 1C1,"43.5595057, -80.2011242",165 DUNLOP DRIVE   GUELPH ON N1L 1P4, 3x 6fx 11D,(519) 823-5200 (519) 823-5372/F
217,HALLMARK POULTRY PROCESSORS LTD.,1750 FRANKLIN STREET   VANCOUVER BC V5L 1P7,"49.2819013, -123.0693107",1756 PANDORA STREET   VANCOUVER BC V5L 1M1,1f 3f 6f 11DGV,(604) 254-9885 (604) 254-7039/F (604) 254-1143/I
217A,HALLMARK POULTRY PROCESSORS LTD.,1756 PANDORA STREET   VANCOUVER BC V5L 1M1,"49.28283200000001, -123.0691216",   , 3f 6f 11DV,(604) 254-9885 (604) 254-7039/F (604) 254-9885/I
218,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   MAPLE LEAF FOODS/LES ALIMENTS MAPLE LEAF : MAPLE LEAF CONSUMER FOODS/LES ALIMENTS DE CONSOMMATION MAPLE LEAF : MAPLE LEAF FOOD SERVICE/SERVICE ALIMENTAIRE MAPLE LEAF : MAPLE LEAF PORK/PORC MAPLE LEAF : MAPLE LEAF POULTRY/VOLAILLE MAPLE LEAF : SCHNEIDER FOODS/LES ALIMENTS SCHNEIDER : J.M. SCHNEIDER : MITCHELL'S GOURMET FOODS : HUB MEAT PACKERS : LARSEN PACKERS : COLD SPRING FARMS : MAPLE LEAF POTATOES : HUB MEATS/LES VIANDES HUB : CAPPOLA FOOD : THAMES VALLEY PROCESSORSMAPLE LEAF FOODS,15350 OLD SIMCOE ROAD   PORT PERRY ON L9L 1A6,"44.10151, -78.95625",6985 FINANCIAL DRIVE   MISSISSAUGA ON L5N 0A1, 6fx 11ADK,(905) 985-7373 (905) 985-7289/F
219,INOVATA FOODS CORP.,95 SPRUCE STREET   TILLSONBURG ON N4G 5C4,"42.8514091, -80.7100392",   , 6fx 11AD,(519) 688-3256 (519) 688-9246/F
220,NOSSACK FINE MEATS LTD.,4951A - 78 STREET   RED DEER AB T4P 1N5,"52.30688250000001, -113.811042",   , 3fx 6fx,(403) 346-5006 (403) 343-8066/F
222,VENETIAN MEAT & SALAMI COMPANY LIMITED,947 BURLINGTON STREET EAST   HAMILTON ON L8L 4K6,"43.2632973, -79.8228113",   , 3x 6x 11AD,(905) 545-1845 (905) 545-1627/I (905) 545-1888/F
224,SOFINA FOODS INC./ALIMENTS SOFINA INC.Also Doing Business As Name:   SANTA MARIA FOODS ULC,350 BELL BOULEVARD   BELLEVILLE ON K8P 5H8,"44.1837678, -77.4169843",100 COMMERCE VALLEY DRIVE WEST   MARKHAM ON L3T 0A1, 6x 11AD,(613) 968-3531 (613) 968-3532/F
225,AGROMEX INC.Also Doing Business As Name:   F.MENARD,505 BOUL. INDUSTRIEL   ST-JEAN-SUR-RICHELIEU QC J3B 7Z3,"45.3144292, -73.2835845",   , 3x 11ADFGQSVI 12Y,(450) 293-3694 (450) 293-2622/F
229,PREMIUM BRANDS OPERATING LIMITED PARTNERSHIPAlso Doing Business As Name:   PILLER'S : PILLER SAUSAGES & DELICATESSENS : PILLER'S FINE FOODS-A DIVISION OF PBOLP,443 WISMER STREET   WATERLOO ON N2K 2K6,"43.4960877, -80.4897651",P.O. BOX 338   WATERLOO ON N2J 4A4, 3fx 6fx 11AD,(519) 743-1412 (519) 743-7111/F Ext. 228
230,INTERCITY PACKERS LTD.*,1575 KOOTENAY ST.   VANCOUVER BC V5K 4Y3,"49.2706105, -123.0274523",   , 3fx 6fx 11K,(604) 291-7796 (604) 291-0456/F (   )    -
231,CAPITAL PACKERS INC.Also Doing Business As Name:   Capital Fine Meats,12907 - 57TH STREET   EDMONTON AB T5A 0E7,"53.5879537, -113.4286202",   , 3x 6fx 11C,(780) 476-1391 (780) 478-0083/F (780) 475-7199
232,PINTY'S DELICIOUS FOODS INC.Also Doing Business As Name:   SOUTHERN FINE FOODS,2714 BRISTOL CIRCLE   OAKVILLE ON L6H 6A1,"43.51001249999999, -79.68426989999999",5063 NORTH SERVICE ROAD   BURLINGTON ON L7L 5H6, 6fx 11D,(905) 829-1130 (905) 829-4359/F
234,BEECHGROVE COUNTRY FOODS INC.,20 MINUK ACRES   TORONTO ON M1E 4Y6,"43.7657593, -79.15842719999999",   , 6fx 11ADK,(416) 283-8777 (416) 283-1608/F (416) 283-8777/I
236,MONTOUR LTE MONTOUR LTD.,1080 BOUL. MICHELE-BOHEC   BLAINVILLE QC J7C 5N5,"45.668087, -73.89823009999999",   , 5Y 9C/US 11C,(450) 433-1312 (450) 433-5085/F
237,SOFINA FOODS INC./ALIMENTS SOFINA INC.Also Doing Business As Name:   LILYDALE INC.,9620 - 56 AVENUE   EDMONTON AB T6E 0B3,"53.49196, -113.477871",100 COMMERCE VALLEY DRIVE  WEST   MARKHAM ON L3T 0A1, 6fx,(780) 435-3944 (780) 436-6867/F (780) 434-9523/I
243,OMEGA TRADING COMPANY INC.,61 TORLAKE CRESCENT   TORONTO ON M8Z 1B4,"43.6125757, -79.52645679999999",   , 3f 6f 9BUS 11D,(416) 253-2200 (416) 253-7800/F EXT. 18
248,NADEAU FERME AVICOLE LIMITEE/NADEAU POULTRY FARM LIMITED,2222; RUE COMMERCIAL   ST-FRANCOIS NB E7A 1B6,"47.2443827, -68.7247412",   ,1fi 3f 6f 11D,(506) 992-2192 (506) 992-3660/F
250,OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   ALIMENTS TRIOMPHE : CHARCUTERIE LA TOUR EIFFEL : BILOPAGE : ST-GERMAIN,485; RUE DES ENTREPRENEURS   QUBEC QC G1M 2V2,"46.8205263, -71.27627989999999",   , 6fgx 11D,(418) 687-2840 (418) 688-9558/F
251,SPECIALITES LASSONDE INCAlso Doing Business As Name:   MONDIV : MONDIV; DIVISION DE SPCIALITS LASSONDE INC. : MONDIV; DIVISION OF LASSONDE SPECIALTIES INC.,3810 RUE ALFRED-LALIBERT   BOISBRIAND QC J7H 1P8,"45.63722689999999, -73.8618826",200 RUE ST-JOSEPH   SAINT-DAMASE QC J0H 1J0, 2fx 6fx 11AD,(450) 979-0717 (450) 979-2278/F
254,LES ALIMENTS TRANS GRAS INC.Also Doing Business As Name:   DRUMMOND EXPORT;PRIMAVERA; LES ALIMENTS ATG/ATG FOODS,2825 RUE POWER   DRUMMONDVILLE QC J2C 6Z6,"45.8701216, -72.5267248",   , 3x 6fx 9BC/US 11ADGKQSVI 12Y,(819) 472-1125 (819) 472-7410/F
255,KING COLE DUCKS LIMITED,15351 WARDEN AVENUE R.R. 3   NEWMARKET ON L3Y 4W1,"44.0244686, -79.3698008",15351 WARDEN AVENUE   STOUFFVILLE ON L4A 2V5,1fi 3f 6f 11ADK,(905) 836-9461 (905) 836-4440/F
256,MAPLE LODGE FARMS LTD.Also Doing Business As Name:   PUDDY BROS. A DIVISION OF MAPLE LODGE FARMS LTD.,7120 EDWARDS BLVD.   MISSISSAUGA ON L5S 1Z1,"43.649874, -79.7078219",   , 3f 6f 11D,(905) 795-0001 (905) 795-0047/F
263,OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   ALIMENTS TRIOMPHE : CHARCUTERIE LA TOUR EIFFEL : CHARCUTERIE DE BRETAGNE : CHARCUTERIE LA BELLE BRETAGNE : CHEF GEORGES : SUMMERSWEET MC : LA MERE POULE ALIMENTS POUR BEBES : MOTHER HEN BABY FOODS : LES ALIMENTS LA MERE POULE : MOTHER HEN FOODS : NOSTRANO : CHARCUTERIE NOUVELLE FRANCE : SANTA CROCE : LA CIE SALAMI VENITIEN MONTREAL : VENITIAN SALAMI CO MONTREAL : SALAMI ALPINA : ALPINA SALAMI: ANTOINE : NOSTRANO NATUREL : NOSTRANO NATURAL,1020 BOUL. MICHELE-BOHEC   BLAINVILLE QC J7C 5E2,"45.6664781, -73.8950381",   , 3x 6fgx 11D,(450) 979-0001 (450) 435-8315/F
265,ALIMENTS OUIMET-CORDON BLEU INC./OUIMET-CORDON BLEU FOODS INC.Also Doing Business As Name:   CLARK : CLARK'S : ESTA,8383; RUE J-REN-OUIMET   ANJOU QC H1J 2P8,"45.6227268, -73.5835134",   , 2fx 6fx 11D,(514) 352-3000 (514) 352-3226/F
267,SOO JERKY LIMITEDAlso Doing Business As Name:   SUE'S JERKY,13191 PRINCESS STREET   RICHMOND BC V7E 3S1,"49.1171465, -123.1562245",   , 3x 6fx 11DF,(604) 272-5758 (604) 272-0901/F
268,BIG CHIEF MEAT SNACKS INC.,3900 - 52ND AVENUE SE   CALGARY AB T3J 3X4,"51.0075879, -113.9607578",   , 6x,(403)264-2641 (403) 262-9053/F Ext. 106/I
269,EVEREST WHOLESALE MEAT LTD.,7171 TORBRAM ROAD; UNIT C26-28   MISSISSAUGA ON L4T 3W4,"43.6997645, -79.6562277",   , 3f 6f 11D,(905) 676-7600 (905) 676-7670/F
270A,OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   OLYMEL S.E.C./L.P. : ALIMENTS PRINCE; S.E.C./PRINCE FOODS; L.P. : SUPRALIMENT S.E.C.,7550 - 40TH AVENUE   RED DEER AB T4P 2H8,"52.3036326, -113.7918077",   ,1d 3x 4Y 5Y 6x 11DFGIKOQVSA 12Y,(403) 343-8700 (403) 342-1433/I (403) 309-7531/F
271B,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   MAPLE LEAF FOODS/LES ALIMENTS MAPLE LEAF : MAPLE LEAF CONSUMER FOODS/LES ALIMENTS DE CONSOMMATION MAPLE LEAF : MAPLE LEAF FOOD SERVICE/SERVICE ALIMENTAIRE MAPLE LEAF : MAPLE LEAF PORK/PORC MAPLE LEAF : MAPLE LEAF POULTRY/VOLAILLE MAPLE LEAF : SCHNEIDER FOODS/LES ALIMENTS SCHNEIDER :HUB MEAT PACKERS : LARSEN PACKERS : J.M. SCHNEIDER : MITCHELL'S GOURMET FOODS : COLD SPRINGS FARMS : MAPLE LEAF POTATOES : HUB MEATS/LES VIANDES HUB : CAPPOLA FOOD : THAMES VALLEY PROCESSORSMAPLE LEAF FOODS,2525 AVENUE FRANCIS-HUGUES   LAVAL QC H7S 2H7,"45.5870047, -73.72934359999999",   , 3x 6fx 11AD,(450) 967-1130 (450) 967-1801/F (236)    -
272,EMBALLAGE AVICO INC./AVICO PACKAGING INC.,1460; RUE PROVINCIALE   QUBEC QC G1N 4A2,"46.8019455, -71.2654866",   , 3fx 6fx 11D,(418) 682-5024 (418) 682-5025/F
273,975837 ONTARIO LIMITEDAlso Doing Business As Name:   PATTY KING INTERNATIONAL,307 EDGELEY BLVD. UNITS 1-6   VAUGHAN ON L4K 3Z5,"43.8005821, -79.53319119999999",   , 6fx 11D,(905) 660-4306 (905) 660-4932/F
274,9020-2516 QUBEC INC.Also Doing Business As Name:   MARVID POULTRY CANADA,5671 BOUL. INDUSTRIEL   MONTREAL NORD QC H1G 3Z9,"45.602446, -73.6173128",   ,1fj 3f 11D,(514) 321-8376 (514) 329-4568/F
277,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   MAPLE LEAF FOODS/LES ALIMENTS MAPLE LEAF : MAPLE LEAF CONSUMER FOODS/LES ALIMENTS DE CONSOMMATION MAPLE LEAF : MAPLE LEAF FOOD SERVICE/SERVICE ALIMENTAIRE MAPLE LEAF : MAPLE LEAF PORK/PORC MAPLE LEAF : MAPLE LEAF POULTRY/VOLAILLE MAPLE LEAF : SCHNEIDER FOODS/LES ALIMENTS SCHNEIDER : J.M. SCHNEIDER : MITCHELL'S GOURMET FOODS : HUB MEAT PACKERS : LARSEN PACKERS : COLD SPRING FARMS : MAPLE LEAF POTATOES : HUB MEATS/LES VIANDES HUB : CAPPOLA FOOD : THAMES VALLEY PROCESSORSMAPLE LEAF FOODS,254; RUE PRINCIPALE   ST. ANSELME QC G0R 2N0,"46.62520749999999, -70.96709960000001",6985 FINANCIAL DRIVE   MISSISSAUGA ON L5N 0A1, 6fx 11ADK,(418) 885-4474 (418) 885-9408/F
278,ALIMENTS MELLO INC.Also Doing Business As Name:   ALIMENTS KORONA INC./KORONA FOODS INC.,5509 RUE FULLUM   MONTREAL QC H2G 2H5,"45.5424058, -73.5803463",   , 3fx 6x 11AD,(514) 523-2186 (514) 523-9974/F
279,BORGES FOODS LTD.Also Doing Business As Name:   MELACOR FOODS,1831 MATTAWA AVENUE   MISSISSAUGA ON L4X 1K7,"43.61638689999999, -79.570469",1821 MATTAWA AVENUE   MISSISSAUGA ON L4X 1K7, 6fgx 11AD,(905) 277-0677 (905) 277-0533/F
280,9284-5288 QUBEC INC.Also Doing Business As Name:   VOLAILLES ET CIE,329; RUE MARION   REPENTIGNY QC J5Z 4W8,"45.75584689999999, -73.48440409999999",   , 3fx 6fx 11D,(450) 654-3700 (450) 654-7552/F
281,SUNRISE POULTRY PROCESSORS LTD.Also Doing Business As Name:   DUNN-RITE FOOD PRODUCTS,199 HAMELIN STREET   WINNIPEG MB R3T 0P2,"49.8286684, -97.1675681",   ,1fi 3f 6f 11ADGV,(204) 452-8379 (204) 284-2862/F (204) 284-3725/I
282,MC CAIN FOODS LIMITEDAlso Doing Business As Name:   WONG WING; A DIVISION OF MC CAIN FOODS LIMITED,1875 RUE BERCY   MONTREAL QC H2K 2T9,"45.5345138, -73.54913880000001",   , 6fx 11ADF,(514) 524-3676 (514) 521-1404/F
283,C&C PACKING LIMITED PARTNERSHIPAlso Doing Business As Name:   Les Viandes Premiere- Premier Meat Packers (TM),270; RUE JOSEPH-CARRIER   VAUDREUIL-DORION QC J7V 5V5,"45.4077941, -74.0485538",   , 3xf 6xf 11ADLQR,(450) 424-0500 (450) 424-5554/F
285,MAPLE LODGE FARMS LTD.,LOT 2; CONCESSION 6 WEST HURONTARIO STREET (WHS)  BRAMPTON ON L6Y 0A2,"43.716747, -79.804405",8301 WINSTON CHURCHILL BOULEVARD   BRAMPTON ON L6Y 0A2,1fi 3f 6f 8Y 9B/US 11ADGRVH,(905) 455-8340 (905) 455-8370/F Ext. 202; 267/I
288,CHARCUTERIE L. FORTIN LTE.Also Doing Business As Name:   PRODUITS L.F.: PHILIPS MEATS: VIANDES PHILIPS: PHILIPS FOODS: ALIMENTS PHILIPS : BOUCHERIE CHARCUTERIE PERRON,5371 AVENUE DU PONT NORD   ALMA QC G8E 1T7,"48.6310859, -71.6900739",   , 6x 11AD,(418) 347-3365 (418) 347-4638
289,JOHN MACHER INC.,1620 RUE DE LOUVAIN OUEST   MONTREAL QC H4N 1G7,"45.5312023, -73.6623755",   , 6x 11AD,(514) 383-1900 (514) 383-1073/F
290,MOLINARO'S FINE ITALIAN FOODS LTD.,2345 STANFIELD ROAD; UNIT 3A;4;50   MISSISSAUGA ON L4Y 3Y3,"43.5988133, -79.58316549999999",2345 STANFIELD ROAD; UNIT #50   MISSISSAUGA ON L4Y 3Y3, 6fx 11AD,(905) 275-7400 (905) 275-7318/F Ext. 36/I
291,COUNTRY RIBBON INC.,BLDG. 902-907 EAST WHITEHILLS ROAD  ST. JOHN'S NL A1C 5L7,"47.6120968, -52.688278",P.O. BOX 803   ST. JOHN'S NL A1C 5L7,1f 3f 6fx 11DGK,(709) 722-3751 (709) 722-6010/F
292,HAMEL INC.,436 AVENUE TANIATA   LEVIS QC G6W 5M6,"46.7429748, -71.2262662",   , 6fx 11D,(418) 839-4193 (418) 839-8386/F
294,4372795 MANITOBA LTD.Also Doing Business As Name:   SMITH'S CORNED BEEF AND SAUSAGE : SMITH'S QUALITY MEATS,1434 CHURCH AVENUE   WINNIPEG MB R2X 1G4,"49.937754, -97.175963",   , 6fx,(204) 633-7054 (204) 694-0708/F
297,CONCORD PREMIUM MEATS LTD.Also Doing Business As Name:   MARCANGELO FOODS : CONCORD PREMIUM FOODS : BLACK RIVER ANGUS COMPANY LIMITED : CENTRAL PARK DELI : BLACK VALLEY ANGUS COMPANY LIMITED : MARCANGELO-LES ALIMENTS SKOULAKIS-SKOULAKIS : COUNTY CREEK MEAT COMPANY LIMITED : CONNIES KITCHEN,125 EDILCAN DRIVE   VAUGHAN ON L4K 3S6,"43.816253, -79.52435539999999",   , 3x 6fx 11ADF,(905) 738-7979 (905) 738-5833/F
299,PRODUITS ALIMENTAIRES BERTHELET INC.,1805; RUE BERLIER   LAVAL QC H7L 3S4,"45.583295, -73.7464432",   , 6fx,(514) 334-5503 (514) 334-3584/F (450) 681-1246/I
302,INOVATA FOODS CORP.,12803 - 149 ST. NW   EDMONTON AB T5L 2J7,"53.5862924, -113.5766186",   , 6fx 11AD,(780) 454-8665 (780) 454-8668/F
303,MACGREGORS MEAT & SEAFOOD LTD.Also Doing Business As Name:   STEAKHOUSE CHOICE,265 GARYRAY DRIVE   TORONTO ON M9L 1P2,"43.7688108, -79.53865379999999",   , 3fx 6fx,(416) 749-5951 (416) 740-3230/F Ext. 251/I
304,ZINETTI FOOD PRODUCTS LTD.,17760 - 66th AVENUE   SURREY BC V3S 7X1,"49.12218319999999, -122.729839",   , 6fx 11DLA,(604) 574-2028 (604) 574-1097/F
305,FLORENTINA FOODS LTD.,760 SUPERTEST ROAD   TORONTO ON M3J 2M5,"43.7760312, -79.4789254",   , 6fx 11D,(416) 661-0906 (416) 661-6568/F
306,7870442 CANADA INC.Also Doing Business As Name:   LES ALIMENTS SUPREME,5445 RUE RAMSAY   ST-HUBERT QC J3Y 2S3,"45.4673276, -73.4283122",   , 3f 6f 11D,(450) 443-0808 (450) 443-6021/F
309,9178-4710 QUBEC INC.Also Doing Business As Name:   MARVID POULTRY CANADA,10039-10041; AVENUE DE ROME   MONTREAL-NORD QC H1H 4N3,"45.5815765, -73.6347066",   , 3f 6f 11DK,(514) 448-6471 (514) 448-6473/F (514) 448-6471/I
310,KING COLE KITCHENS LIMITEDAlso Doing Business As Name:   SOUS VIDE CANADA LIMITED : KING COLE DUCKS LIMITED,1039 MIDWAY BLVD.   MISSISSAUGA ON L5T 2C1,"43.6609586, -79.67422789999999",   , 3fx 4Y 6fx 11AD,(905) 670-5388 (905) 670-7754/F
311,EXCELDOR COOPRATIVE/EXCELDOR COOPERATIVE,1000 ROUTE BGIN;   ST-ANSELME QC G0R 2N0,"46.6234723, -70.9565875",   ,1f 3f 6f 9B 11ADG,(418) 885-4451 (418) 885-4803/F (418) 885-4451/I
313,H. HEIN FOODS LTD.,BAY 7; 6112 30TH STREET S.E.   CALGARY AB T2C 2A6,"50.9999808, -113.9869943",   , 3fx 6fx,(403) 236-2653 (403) 212-0421/F
314,SUNRISE POULTRY PROCESSORS LTD.Also Doing Business As Name:   SUNRISE FARMS,13542-73A AVENUE   SURREY BC V3W 1C9,"49.1360836, -122.8478765",13538 73 AVENUE   SURREY BC V3W 2R6,1f 3f 6f 11ADGV,(604) 596-9505 (604) 593-3915/F
315,OCEAN PIER INC.,20 PATTISON STREET   SCOUDOUC NB E4P 3R4,"46.1680362, -64.58502419999999",   , 6fx 11D,(506) 532-3010 (506) 532-4345/F
316,SOFINA FOODS INC./ALIMENTS SOFINA INC.Also Doing Business As Name:   JANES FAMILY FOODS,401 CANARCTIC DRIVE   TORONTO ON M3J 2P9,"43.7763874, -79.4860123",3340 ORLANDO DRIVE   MISSISSAUGA ON L4V 1C7, 3f 6fx 9B/US 11D,(416) 665-6104 (416) 665-8031/F (416) 665-0518/I
319,METRO RICHELIEU INC.Also Doing Business As Name:   BOEUF MRITE,11701 BOULEVARD ALBERT HUDON   MONTREAL-NORD QC H1G 3K6,"45.6174901, -73.61101579999999",   , 7Y 11D,(514) 328-8000 (514) 328-8031/F
321,MILTON CUSTOM MEATS INC.,251 NIPISSING ROAD   MILTON ON L9T 4Z5,"43.52084929999999, -79.8680953",   , 3fx 9BC/US 11AD,(905) 636-6868 (905) 878-2849/F
322,OLYMEL S.E.C./OLYMEL L.P.,14 WESTWYN COURT   Brampton ON L6T 4T5,"43.6859141, -79.6938536",14 WESTWYN COURT   Brampton ON L6T 4T5, 3f 6f(15; 16) 11D,(450)771-0400 (450)773-6436/F
324,TNT FOODS INTERNATIONAL INC.,6960 PACIFIC CIRCLE   MISSISSAUGA ON L5T 1N8,"43.66232979999999, -79.6848897",   , 3f 6f 11D,(905) 564-2442 (905) 564-1316/F
325,LESTERS FOODS LIMITED - LES ALIMENTS LESTERS LIMITEE,2105 BOULEVARD INDUSTRIEL;   LAVAL QC H7S 1P7,"45.5793598, -73.72778199999999",   , 3x 6fx 9B 11D,(450) 629-1109 (450) 629-1710/F Ext. 154/I
326,CONCORD PREMIUM MEATS LTD.Also Doing Business As Name:   MARCANGELO FOODS : CONCORD PREMIUM FOODS : BLACK RIVER ANGUS COMPANY LIMITED : CENTRAL PARK DELI : BLACK VALLEY ANGUS COMPANY LIMITED : MARCANGELO - LES ALIMENTS SKOULAKIS-SKOULAKIS : COUNTY CREEK MEAT COMPANY LIMITED : CONNIES KITCHEN,6481 EDWARDS BLVD.   MISSISSAUGA ON L5T 2V2,"43.6382903, -79.6892092",125 EDILCAN DRIVE   VAUGHAN ON L4K 3S6, 3x 6fx 11D,(905) 564-0786 (905) 564-6844/F
327,MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   ALIMENT CAPPOLA; ALIMENTS MINA; BON APPETIT MEATS; CANA FOODS; CAPPOLA FOOD; CLEARVIEW TURKEY FARMS; COLD SPRINGS FARM; DEVOUR JERKY; DEVOUR MEATS; EMBALLAGES DE VIANDE HUB; EMBALLAGES LARSEN; FERME COLD SPRINGS; FLEETWOOD SAUSAGE; GREENFIELD FOOD PRODUCTS; GREENFIELD; GREENFIELD NATURAL MEATS; GREENFIELD NATURAL MEAT CO.; HORIZON POULTRY; HUB MEAT PACKERS; HUB MEATS; HYGRADE FOODS; J.M. SCHNEIDER; LARSEN PACKERS; LES ALIMENTS DE CONSOMMATION MAPLE LEAF; LES ALIMENTS MAPLE LEAF; LES ALIMENTS SCHNEIDER; LES ALIMENTS SCHNEIDER; LES ALIMENTS SHOPSY'S; LES VIANDES BON APPETIT; LES VIANDES DEVOUR; LES VIANDES HUB; LES VIANDES MAPLE LEAF; LES VOLAILLES MAPLE LEAF; MAPLE LEAF AGRI-FARMS; MAPLE LEAF AGRI-FARMS; MAPLE LEAF CONSUMER FOODS; MAPLE LEAF FOOD SERVICE; MAPLE LEAF FOODS; MAPLE LEAF FRESH FOODS; MAPLE LEAF MEATS; MAPLE LEAF PORK; MAPLE LEAF POULTRY; MAPLE LEAF PREPARED MEATS; MINA; MINA FOODS; MITCHELL'S GOURMET FOODS; MOTHER JACKSON'S OPEN KITCHENS; PARADIGM FOOD GROUP; PASTA EXCELLENTE FOODS; PERFECT MANITOBA PULLETS; PRIME POULTRY; PORC MAPLE LEAF; PRODUCTEURS THAMES VALLEY; PRODUITS ALIMENTAIRES GREENFIELD; SCHNEIDER FOODS; SERVICE ALIMENTAIRE MAPLE LEAF; SHOPSY'S FOODS; TEND-R-FRESH POULTRY FARMS; THAMES VALLEY PROCESSORS; VANCOUVER FANCY MEATS; VIANDES NATURELLES GREENFIELD; VOLAILLE MAPLE LEAF,25 LEPAGE COURT   TORONTO ON M3J 3M3,"43.7582253, -79.4866444",6985 FINANCIAL DRIVE   MISSISSAUGA ON L5N 0A1, 3x 6x 11AD,(416) 633-0389 (416) 633-0389/I (416) 633-8733/F
328,KITCHEN PARTNERS LIMITED,2545 - 96 STREET N.W.   EDMONTON AB T6N 1E3,"53.455177, -113.4748742",   , 6fx 11D,(780) 438-9300 (780) 438-9200/F
331,GRAND RIVER FOODS LTD.,685 BOXWOOD DRIVE   CAMBRIDGE ON N3E 1A4,"43.431455, -80.3697767",   , 6fx 11D,(519) 653-3577 (519) 653-7595/F
333,OLYMEL S.E.C./OLYMEL L.P.Also Doing Business As Name:   OLYMEL S.E.C./L.P.; ALIMENTS PRINCE; S.E.C./PRINCE FOODS; L.P.;SUPRALIMENT S.E.C.,255; RUE ROCHELEAU   DRUMMONDVILLE QC J2C 7G2,"45.8778407, -72.5457009",   , 6x 11ADFKV,(819) 475-3030 (819) 475-4164/F
334,LES BOYAUX CONTINENTAL 1976 INC.,450 RUE ST-SIMON   STE. MADELEINE QC J0H 1S0,"45.5954664, -73.097737",   , 5Y 9C/US 11FH,(450) 795-3810 (450) 795-3565/F
335,DOLLAR FOOD MFG INC,1410 ODLUM DRIVE   VANCOUVER BC V5L 4X7,"49.2720912, -123.0757316",   , 3fx 6fx 11AD,(604) 253-1422 (604) 253-2226/F (604) 253-7221/I
336,MARINI FOODS LTD.Also Doing Business As Name:   BONA FOODS LIMITED; REA FOODS INC.,184 TORYORK DRIVE   TORONTO ON M9L 1X6,"43.7602212, -79.5574259",   , 3x 6x 11D,(416) 749-2466 (416) 749-2558/F (416) 749-5411/I
337,SOFINA FOODS INC./ALIMENTS SOFINA INC.,1226 TRAFALGAR STREET   LONDON ON N5Z 1H5,"42.9837736, -81.2023858",   , 6fx 11ADG,(519) 455-6060 (519) 455-0145/F (   )    -
338,GENERAL MILLS CANADA CORPORATION/CORPORATION GENERAL MILLS CANADAAlso Doing Business As Name:   PILLSBURY BAKERIES & FOODSERVICE LTD.,1555B CHEVRIER BLVD   WINNIPEG MB R3T 1Y7,"49.8237698, -97.17761759999999",   , 6x 11D,(204) 477-8338 (204) 477-8347/F Ext. 32/I
340,SOFINA FOODS INC/ALIMENTS SOFINA INCAlso Doing Business As Name:   SANTA MARIA FOODS,353 HUMBERLINE DRIVE   TORONTO ON M9W 5X3,"43.7436362, -79.61985399999999",100 COMMERCE VALLEY DRIVE WEST   MARKHAM ON L3T 0A1, 6x 11ADK,(905) 790-1991 (905) 679-8263/F (   )    -
341,UNITED POULTRY CO. LTD.Also Doing Business As Name:   UNITED POULTRY,534 EAST CORDOVA STREET   VANCOUVER BC V6A 1L7,"49.28187519999999, -123.0925024",   ,1f 3f 11DV,(604) 255-9308 (604) 254-6581/F
345,LES ALIMENTS PARADOR FOODS INC.,1060 BOUL. MICHELE-BOHEC; SUITE 103   BLAINVILLE QC J7C 5E2,"45.6673225, -73.8971986",   , 6fx 9C/US 11D,(450) 430-7751 (450) 430-1379/F
